CHROMOSOME	LENGTH	ALIGNED_READS	SAMPLE_NAME
GL000226.1	15008	12	BC21-T2
GL000229.1	19913	0	BC21-T2
GL000231.1	27386	2	BC21-T2
GL000210.1	27682	2	BC21-T2
GL000239.1	33824	10	BC21-T2
GL000235.1	34474	0	BC21-T2
GL000201.1	36148	2	BC21-T2
GL000247.1	36422	14	BC21-T2
GL000245.1	36651	35	BC21-T2
GL000197.1	37175	4	BC21-T2
GL000203.1	37498	8	BC21-T2
GL000246.1	38154	4	BC21-T2
GL000249.1	38502	6	BC21-T2
GL000196.1	38914	12	BC21-T2
GL000248.1	39786	5	BC21-T2
GL000244.1	39929	10	BC21-T2
GL000238.1	39939	4	BC21-T2
GL000202.1	40103	6	BC21-T2
GL000234.1	40531	2	BC21-T2
GL000232.1	40652	2	BC21-T2
GL000206.1	41001	8	BC21-T2
GL000240.1	41933	9	BC21-T2
GL000236.1	41934	2173	BC21-T2
GL000241.1	42152	4	BC21-T2
GL000243.1	43341	61	BC21-T2
GL000242.1	43523	10	BC21-T2
GL000230.1	43691	0	BC21-T2
GL000237.1	45867	12	BC21-T2
GL000233.1	45941	0	BC21-T2
GL000204.1	81310	4	BC21-T2
GL000198.1	90085	0	BC21-T2
GL000208.1	92689	57	BC21-T2
GL000191.1	106433	262	BC21-T2
GL000227.1	128374	1342	BC21-T2
GL000228.1	129120	184	BC21-T2
GL000214.1	137718	56	BC21-T2
GL000221.1	155397	123	BC21-T2
GL000209.1	159169	5	BC21-T2
GL000218.1	161147	30	BC21-T2
GL000220.1	161802	30	BC21-T2
GL000213.1	164239	22	BC21-T2
GL000211.1	166566	15	BC21-T2
GL000199.1	169874	55	BC21-T2
GL000217.1	172149	84	BC21-T2
GL000216.1	172294	260	BC21-T2
GL000215.1	172545	5	BC21-T2
GL000205.1	174588	4	BC21-T2
GL000219.1	179198	15	BC21-T2
GL000224.1	179693	25	BC21-T2
GL000223.1	180455	46	BC21-T2
GL000195.1	182896	1	BC21-T2
GL000212.1	186858	5081	BC21-T2
GL000222.1	186861	65	BC21-T2
GL000200.1	187035	45	BC21-T2
GL000193.1	189789	25	BC21-T2
GL000194.1	191469	16	BC21-T2
GL000225.1	211173	30	BC21-T2
GL000192.1	547496	65	BC21-T2
1	249250621	1830689	BC09-T2
2	243199373	1170833	BC09-T2
3	198022430	1185190	BC09-T2
4	191154276	401364	BC09-T2
5	180915260	818577	BC09-T2
6	171115067	949778	BC09-T2
7	159138663	1096740	BC09-T2
8	146364022	519284	BC09-T2
9	141213431	791656	BC09-T2
10	135534747	592011	BC09-T2
11	135006516	811480	BC09-T2
12	133851895	1220654	BC09-T2
13	115169878	470537	BC09-T2
14	107349540	270099	BC09-T2
15	102531392	529759	BC09-T2
16	90354753	919754	BC09-T2
17	81195210	936309	BC09-T2
18	78077248	137682	BC09-T2
19	59128983	1849873	BC09-T2
20	63025520	470491	BC09-T2
21	48129895	232037	BC09-T2
22	51304566	373212	BC09-T2
X	155270560	879622	BC09-T2
Y	59373566	5517	BC09-T2
MT	16569	72	BC09-T2
GL000207.1	4262	0	BC09-T2
GL000226.1	15008	2	BC09-T2
GL000229.1	19913	2	BC09-T2
GL000231.1	27386	0	BC09-T2
GL000210.1	27682	8	BC09-T2
GL000239.1	33824	9	BC09-T2
GL000235.1	34474	0	BC09-T2
GL000201.1	36148	26	BC09-T2
GL000247.1	36422	14	BC09-T2
GL000245.1	36651	10	BC09-T2
GL000197.1	37175	12	BC09-T2
GL000203.1	37498	1	BC09-T2
GL000246.1	38154	4	BC09-T2
GL000249.1	38502	4	BC09-T2
GL000196.1	38914	3	BC09-T2
GL000248.1	39786	2	BC09-T2
GL000244.1	39929	6	BC09-T2
GL000238.1	39939	4	BC09-T2
GL000202.1	40103	9	BC09-T2
GL000234.1	40531	2	BC09-T2
GL000232.1	40652	0	BC09-T2
GL000206.1	41001	20	BC09-T2
GL000240.1	41933	6	BC09-T2
GL000236.1	41934	2505	BC09-T2
GL000241.1	42152	6	BC09-T2
GL000243.1	43341	66	BC09-T2
GL000242.1	43523	6	BC09-T2
GL000230.1	43691	2	BC09-T2
GL000237.1	45867	8	BC09-T2
GL000233.1	45941	0	BC09-T2
GL000204.1	81310	42	BC09-T2
GL000198.1	90085	0	BC09-T2
GL000208.1	92689	26	BC09-T2
GL000191.1	106433	180	BC09-T2
GL000227.1	128374	1444	BC09-T2
GL000228.1	129120	184	BC09-T2
GL000214.1	137718	51	BC09-T2
GL000221.1	155397	99	BC09-T2
GL000209.1	159169	9	BC09-T2
GL000218.1	161147	33	BC09-T2
GL000220.1	161802	54	BC09-T2
GL000213.1	164239	12	BC09-T2
GL000211.1	166566	4	BC09-T2
GL000199.1	169874	36	BC09-T2
GL000217.1	172149	63	BC09-T2
GL000216.1	172294	119	BC09-T2
GL000215.1	172545	4	BC09-T2
GL000205.1	174588	0	BC09-T2
GL000219.1	179198	9	BC09-T2
GL000224.1	179693	36	BC09-T2
GL000223.1	180455	44	BC09-T2
GL000195.1	182896	0	BC09-T2
GL000212.1	186858	5336	BC09-T2
GL000222.1	186861	125	BC09-T2
GL000200.1	187035	26	BC09-T2
GL000193.1	189789	5	BC09-T2
GL000194.1	191469	48	BC09-T2
GL000225.1	211173	52	BC09-T2
GL000192.1	547496	163	BC09-T2
1	249250621	2984272	BC02-T
2	243199373	1493797	BC02-T
3	198022430	1709884	BC02-T
4	191154276	564645	BC02-T
5	180915260	1260760	BC02-T
6	171115067	1597533	BC02-T
7	159138663	1208959	BC02-T
8	146364022	425866	BC02-T
9	141213431	1067422	BC02-T
10	135534747	778247	BC02-T
11	135006516	926717	BC02-T
12	133851895	1789762	BC02-T
13	115169878	701539	BC02-T
14	107349540	382032	BC02-T
15	102531392	787956	BC02-T
16	90354753	1969036	BC02-T
17	81195210	2787151	BC02-T
18	78077248	223279	BC02-T
19	59128983	2108630	BC02-T
20	63025520	648010	BC02-T
21	48129895	348762	BC02-T
22	51304566	300987	BC02-T
X	155270560	1606108	BC02-T
Y	59373566	7262	BC02-T
MT	16569	47	BC02-T
GL000207.1	4262	0	BC02-T
GL000226.1	15008	7	BC02-T
GL000229.1	19913	1	BC02-T
GL000231.1	27386	2	BC02-T
GL000210.1	27682	4	BC02-T
GL000239.1	33824	5	BC02-T
GL000235.1	34474	2	BC02-T
GL000201.1	36148	16	BC02-T
GL000247.1	36422	14	BC02-T
GL000245.1	36651	14	BC02-T
GL000197.1	37175	8	BC02-T
GL000203.1	37498	0	BC02-T
GL000246.1	38154	2	BC02-T
GL000249.1	38502	11	BC02-T
GL000196.1	38914	1	BC02-T
GL000248.1	39786	0	BC02-T
GL000244.1	39929	19	BC02-T
GL000238.1	39939	2	BC02-T
GL000202.1	40103	6	BC02-T
GL000234.1	40531	1	BC02-T
GL000232.1	40652	1	BC02-T
GL000206.1	41001	7	BC02-T
GL000240.1	41933	7	BC02-T
GL000236.1	41934	1249	BC02-T
GL000241.1	42152	5	BC02-T
GL000243.1	43341	15	BC02-T
GL000242.1	43523	5	BC02-T
GL000230.1	43691	0	BC02-T
GL000237.1	45867	9	BC02-T
GL000233.1	45941	0	BC02-T
GL000204.1	81310	37	BC02-T
GL000198.1	90085	2	BC02-T
GL000208.1	92689	37	BC02-T
GL000191.1	106433	243	BC02-T
GL000227.1	128374	930	BC02-T
GL000228.1	129120	74	BC02-T
GL000214.1	137718	16	BC02-T
GL000221.1	155397	53	BC02-T
GL000209.1	159169	2	BC02-T
GL000218.1	161147	10	BC02-T
GL000220.1	161802	43	BC02-T
GL000213.1	164239	15	BC02-T
GL000211.1	166566	9	BC02-T
GL000199.1	169874	39	BC02-T
GL000217.1	172149	40	BC02-T
GL000216.1	172294	157	BC02-T
GL000215.1	172545	8	BC02-T
GL000205.1	174588	4	BC02-T
GL000219.1	179198	4	BC02-T
GL000224.1	179693	28	BC02-T
GL000223.1	180455	25	BC02-T
GL000195.1	182896	0	BC02-T
GL000212.1	186858	5005	BC02-T
GL000222.1	186861	36	BC02-T
GL000200.1	187035	21	BC02-T
GL000193.1	189789	6	BC02-T
GL000194.1	191469	45	BC02-T
GL000225.1	211173	30	BC02-T
GL000192.1	547496	77	BC02-T
1	249250621	2232569	BC04-T2
2	243199373	1324568	BC04-T2
3	198022430	1263614	BC04-T2
4	191154276	640038	BC04-T2
5	180915260	1082146	BC04-T2
6	171115067	1293192	BC04-T2
7	159138663	1899875	BC04-T2
8	146364022	735479	BC04-T2
9	141213431	940095	BC04-T2
10	135534747	625754	BC04-T2
11	135006516	971215	BC04-T2
12	133851895	1491489	BC04-T2
13	115169878	644620	BC04-T2
14	107349540	342272	BC04-T2
15	102531392	571182	BC04-T2
16	90354753	1615077	BC04-T2
17	81195210	1209190	BC04-T2
18	78077248	147543	BC04-T2
19	59128983	2607515	BC04-T2
20	63025520	676595	BC04-T2
21	48129895	292617	BC04-T2
22	51304566	434429	BC04-T2
X	155270560	1018137	BC04-T2
Y	59373566	810	BC04-T2
MT	16569	2956	BC04-T2
GL000207.1	4262	0	BC04-T2
GL000226.1	15008	4	BC04-T2
GL000229.1	19913	0	BC04-T2
GL000231.1	27386	2	BC04-T2
GL000210.1	27682	4	BC04-T2
GL000239.1	33824	8	BC04-T2
GL000235.1	34474	3	BC04-T2
GL000201.1	36148	8	BC04-T2
GL000247.1	36422	4	BC04-T2
GL000245.1	36651	21	BC04-T2
GL000197.1	37175	20	BC04-T2
GL000203.1	37498	6	BC04-T2
GL000246.1	38154	3	BC04-T2
GL000249.1	38502	4	BC04-T2
GL000196.1	38914	6	BC04-T2
GL000248.1	39786	6	BC04-T2
GL000244.1	39929	6	BC04-T2
GL000238.1	39939	6	BC04-T2
GL000202.1	40103	3	BC04-T2
GL000234.1	40531	0	BC04-T2
GL000232.1	40652	0	BC04-T2
GL000206.1	41001	15	BC04-T2
GL000240.1	41933	11	BC04-T2
GL000236.1	41934	2712	BC04-T2
GL000241.1	42152	4	BC04-T2
GL000243.1	43341	40	BC04-T2
GL000242.1	43523	5	BC04-T2
GL000230.1	43691	0	BC04-T2
GL000237.1	45867	9	BC04-T2
GL000233.1	45941	0	BC04-T2
GL000204.1	81310	6	BC04-T2
GL000198.1	90085	0	BC04-T2
GL000208.1	92689	22	BC04-T2
GL000191.1	106433	263	BC04-T2
GL000227.1	128374	2507	BC04-T2
GL000228.1	129120	170	BC04-T2
GL000214.1	137718	47	BC04-T2
GL000221.1	155397	109	BC04-T2
GL000209.1	159169	14	BC04-T2
GL000218.1	161147	22	BC04-T2
GL000220.1	161802	71	BC04-T2
GL000213.1	164239	17	BC04-T2
GL000211.1	166566	8	BC04-T2
GL000199.1	169874	26	BC04-T2
GL000217.1	172149	75	BC04-T2
GL000216.1	172294	115	BC04-T2
GL000215.1	172545	20	BC04-T2
GL000205.1	174588	2	BC04-T2
GL000219.1	179198	9	BC04-T2
GL000224.1	179693	11	BC04-T2
GL000223.1	180455	53	BC04-T2
GL000195.1	182896	0	BC04-T2
GL000212.1	186858	5674	BC04-T2
GL000222.1	186861	55	BC04-T2
GL000200.1	187035	26	BC04-T2
GL000193.1	189789	16	BC04-T2
GL000194.1	191469	29	BC04-T2
GL000225.1	211173	23	BC04-T2
GL000192.1	547496	72	BC04-T2
1	249250621	1671226	BC12-P1
2	243199373	1165495	BC12-P1
3	198022430	1011579	BC12-P1
4	191154276	588327	BC12-P1
5	180915260	854467	BC12-P1
6	171115067	1028251	BC12-P1
7	159138663	1069483	BC12-P1
8	146364022	512266	BC12-P1
9	141213431	817504	BC12-P1
10	135534747	561790	BC12-P1
11	135006516	747783	BC12-P1
12	133851895	1117350	BC12-P1
13	115169878	411684	BC12-P1
14	107349540	263126	BC12-P1
15	102531392	509684	BC12-P1
16	90354753	1062951	BC12-P1
17	81195210	1078041	BC12-P1
18	78077248	148764	BC12-P1
19	59128983	1635439	BC12-P1
20	63025520	449304	BC12-P1
21	48129895	325411	BC12-P1
22	51304566	351647	BC12-P1
X	155270560	874567	BC12-P1
Y	59373566	371	BC12-P1
MT	16569	34	BC12-P1
GL000207.1	4262	0	BC12-P1
GL000226.1	15008	0	BC12-P1
GL000229.1	19913	0	BC12-P1
GL000231.1	27386	0	BC12-P1
GL000210.1	27682	4	BC12-P1
GL000239.1	33824	6	BC12-P1
GL000235.1	34474	0	BC12-P1
GL000201.1	36148	8	BC12-P1
GL000247.1	36422	12	BC12-P1
GL000245.1	36651	14	BC12-P1
GL000197.1	37175	14	BC12-P1
GL000203.1	37498	0	BC12-P1
GL000246.1	38154	0	BC12-P1
GL000249.1	38502	2	BC12-P1
GL000196.1	38914	0	BC12-P1
GL000248.1	39786	5	BC12-P1
GL000244.1	39929	1	BC12-P1
GL000238.1	39939	0	BC12-P1
GL000202.1	40103	9	BC12-P1
GL000234.1	40531	0	BC12-P1
GL000232.1	40652	0	BC12-P1
GL000206.1	41001	9	BC12-P1
GL000240.1	41933	7	BC12-P1
GL000236.1	41934	3591	BC12-P1
GL000241.1	42152	0	BC12-P1
GL000243.1	43341	28	BC12-P1
GL000242.1	43523	2	BC12-P1
GL000230.1	43691	0	BC12-P1
GL000237.1	45867	4	BC12-P1
GL000233.1	45941	0	BC12-P1
GL000204.1	81310	30	BC12-P1
GL000198.1	90085	3	BC12-P1
GL000208.1	92689	10	BC12-P1
GL000191.1	106433	199	BC12-P1
GL000227.1	128374	1788	BC12-P1
GL000228.1	129120	137	BC12-P1
GL000214.1	137718	27	BC12-P1
GL000221.1	155397	42	BC12-P1
GL000209.1	159169	5	BC12-P1
GL000218.1	161147	3	BC12-P1
GL000220.1	161802	15	BC12-P1
GL000213.1	164239	10	BC12-P1
GL000211.1	166566	7	BC12-P1
GL000199.1	169874	12	BC12-P1
GL000217.1	172149	27	BC12-P1
GL000216.1	172294	58	BC12-P1
GL000215.1	172545	12	BC12-P1
GL000205.1	174588	0	BC12-P1
GL000219.1	179198	10	BC12-P1
GL000224.1	179693	10	BC12-P1
GL000223.1	180455	17	BC12-P1
GL000195.1	182896	0	BC12-P1
GL000212.1	186858	5786	BC12-P1
GL000222.1	186861	34	BC12-P1
GL000200.1	187035	12	BC12-P1
GL000193.1	189789	6	BC12-P1
GL000194.1	191469	25	BC12-P1
GL000225.1	211173	6	BC12-P1
GL000192.1	547496	34	BC12-P1
1	249250621	1640272	BC10-T2
2	243199373	1529439	BC10-T2
3	198022430	1144825	BC10-T2
4	191154276	600642	BC10-T2
5	180915260	805979	BC10-T2
6	171115067	1574538	BC10-T2
7	159138663	1647443	BC10-T2
8	146364022	697077	BC10-T2
9	141213431	765767	BC10-T2
10	135534747	617079	BC10-T2
11	135006516	778636	BC10-T2
12	133851895	1387055	BC10-T2
13	115169878	487968	BC10-T2
14	107349540	299588	BC10-T2
15	102531392	421102	BC10-T2
16	90354753	1095229	BC10-T2
17	81195210	913644	BC10-T2
18	78077248	177515	BC10-T2
19	59128983	1710832	BC10-T2
20	63025520	412606	BC10-T2
21	48129895	279241	BC10-T2
22	51304566	420437	BC10-T2
X	155270560	783160	BC10-T2
Y	59373566	617	BC10-T2
MT	16569	9208	BC10-T2
GL000207.1	4262	0	BC10-T2
GL000226.1	15008	2	BC10-T2
GL000229.1	19913	2	BC10-T2
GL000231.1	27386	6	BC10-T2
GL000210.1	27682	2	BC10-T2
GL000239.1	33824	4	BC10-T2
GL000235.1	34474	4	BC10-T2
GL000201.1	36148	2	BC10-T2
GL000247.1	36422	14	BC10-T2
GL000245.1	36651	42	BC10-T2
GL000197.1	37175	4	BC10-T2
GL000203.1	37498	0	BC10-T2
GL000246.1	38154	3	BC10-T2
GL000249.1	38502	2	BC10-T2
GL000196.1	38914	6	BC10-T2
GL000248.1	39786	3	BC10-T2
GL000244.1	39929	4	BC10-T2
GL000238.1	39939	4	BC10-T2
GL000202.1	40103	2	BC10-T2
GL000234.1	40531	0	BC10-T2
GL000232.1	40652	2	BC10-T2
GL000206.1	41001	8	BC10-T2
GL000240.1	41933	6	BC10-T2
GL000236.1	41934	3005	BC10-T2
GL000241.1	42152	0	BC10-T2
GL000243.1	43341	27	BC10-T2
GL000242.1	43523	6	BC10-T2
GL000230.1	43691	1	BC10-T2
GL000237.1	45867	2	BC10-T2
GL000233.1	45941	1	BC10-T2
GL000204.1	81310	3	BC10-T2
GL000198.1	90085	5	BC10-T2
GL000208.1	92689	30	BC10-T2
GL000191.1	106433	176	BC10-T2
GL000227.1	128374	887	BC10-T2
GL000228.1	129120	84	BC10-T2
GL000214.1	137718	50	BC10-T2
GL000221.1	155397	114	BC10-T2
GL000209.1	159169	4	BC10-T2
GL000218.1	161147	18	BC10-T2
GL000220.1	161802	14	BC10-T2
GL000213.1	164239	4	BC10-T2
GL000211.1	166566	12	BC10-T2
GL000199.1	169874	34	BC10-T2
GL000217.1	172149	27	BC10-T2
GL000216.1	172294	87	BC10-T2
GL000215.1	172545	5	BC10-T2
GL000205.1	174588	4	BC10-T2
GL000219.1	179198	3	BC10-T2
GL000224.1	179693	24	BC10-T2
GL000223.1	180455	24	BC10-T2
GL000195.1	182896	0	BC10-T2
GL000212.1	186858	6900	BC10-T2
GL000222.1	186861	28	BC10-T2
GL000200.1	187035	11	BC10-T2
GL000193.1	189789	5	BC10-T2
GL000194.1	191469	29	BC10-T2
GL000225.1	211173	21	BC10-T2
GL000192.1	547496	55	BC10-T2
1	249250621	3814909	BC04-P1
2	243199373	2583806	BC04-P1
3	198022430	2191837	BC04-P1
4	191154276	1261538	BC04-P1
5	180915260	1875979	BC04-P1
6	171115067	2297369	BC04-P1
7	159138663	2306011	BC04-P1
8	146364022	1175140	BC04-P1
9	141213431	1815028	BC04-P1
10	135534747	1218036	BC04-P1
11	135006516	1681101	BC04-P1
12	133851895	2441042	BC04-P1
13	115169878	909000	BC04-P1
14	107349540	605272	BC04-P1
15	102531392	1151786	BC04-P1
16	90354753	2353409	BC04-P1
17	81195210	2369566	BC04-P1
18	78077248	337094	BC04-P1
19	59128983	3697329	BC04-P1
20	63025520	1015629	BC04-P1
21	48129895	658414	BC04-P1
22	51304566	769404	BC04-P1
X	155270560	1860079	BC04-P1
Y	59373566	804	BC04-P1
MT	16569	24	BC04-P1
GL000207.1	4262	0	BC04-P1
GL000226.1	15008	4	BC04-P1
GL000229.1	19913	4	BC04-P1
GL000231.1	27386	2	BC04-P1
GL000210.1	27682	17	BC04-P1
GL000239.1	33824	11	BC04-P1
GL000235.1	34474	1	BC04-P1
GL000201.1	36148	33	BC04-P1
GL000247.1	36422	17	BC04-P1
GL000245.1	36651	41	BC04-P1
GL000197.1	37175	45	BC04-P1
GL000203.1	37498	6	BC04-P1
GL000246.1	38154	4	BC04-P1
GL000249.1	38502	12	BC04-P1
GL000196.1	38914	10	BC04-P1
GL000248.1	39786	6	BC04-P1
GL000244.1	39929	10	BC04-P1
GL000238.1	39939	10	BC04-P1
GL000202.1	40103	19	BC04-P1
GL000234.1	40531	2	BC04-P1
GL000232.1	40652	2	BC04-P1
GL000206.1	41001	28	BC04-P1
GL000240.1	41933	2	BC04-P1
GL000236.1	41934	4638	BC04-P1
GL000241.1	42152	7	BC04-P1
GL000243.1	43341	62	BC04-P1
GL000242.1	43523	12	BC04-P1
GL000230.1	43691	0	BC04-P1
GL000237.1	45867	6	BC04-P1
GL000233.1	45941	0	BC04-P1
GL000204.1	81310	189	BC04-P1
GL000198.1	90085	6	BC04-P1
GL000208.1	92689	30	BC04-P1
GL000191.1	106433	427	BC04-P1
GL000227.1	128374	3552	BC04-P1
GL000228.1	129120	275	BC04-P1
GL000214.1	137718	55	BC04-P1
GL000221.1	155397	130	BC04-P1
GL000209.1	159169	11	BC04-P1
GL000218.1	161147	42	BC04-P1
GL000220.1	161802	58	BC04-P1
GL000213.1	164239	20	BC04-P1
GL000211.1	166566	11	BC04-P1
GL000199.1	169874	45	BC04-P1
GL000217.1	172149	87	BC04-P1
GL000216.1	172294	138	BC04-P1
GL000215.1	172545	38	BC04-P1
GL000205.1	174588	7	BC04-P1
GL000219.1	179198	13	BC04-P1
GL000224.1	179693	26	BC04-P1
GL000223.1	180455	91	BC04-P1
GL000195.1	182896	0	BC04-P1
GL000212.1	186858	9505	BC04-P1
GL000222.1	186861	149	BC04-P1
GL000200.1	187035	41	BC04-P1
GL000193.1	189789	22	BC04-P1
GL000194.1	191469	54	BC04-P1
GL000225.1	211173	27	BC04-P1
GL000192.1	547496	145	BC04-P1
1	249250621	3512494	BC21-P1
2	243199373	2467622	BC21-P1
3	198022430	2098067	BC21-P1
4	191154276	1246422	BC21-P1
5	180915260	1823452	BC21-P1
6	171115067	2233871	BC21-P1
7	159138663	2204380	BC21-P1
8	146364022	1132749	BC21-P1
9	141213431	1732785	BC21-P1
10	135534747	1213403	BC21-P1
11	135006516	1579995	BC21-P1
12	133851895	2340416	BC21-P1
13	115169878	860219	BC21-P1
14	107349540	613710	BC21-P1
15	102531392	1069709	BC21-P1
16	90354753	2181084	BC21-P1
17	81195210	2315272	BC21-P1
18	78077248	332878	BC21-P1
19	59128983	3465077	BC21-P1
20	63025520	958592	BC21-P1
21	48129895	676057	BC21-P1
22	51304566	740108	BC21-P1
X	155270560	1761755	BC21-P1
Y	59373566	949	BC21-P1
MT	16569	53	BC21-P1
GL000207.1	4262	0	BC21-P1
GL000226.1	15008	0	BC21-P1
GL000229.1	19913	2	BC21-P1
GL000231.1	27386	0	BC21-P1
GL000210.1	27682	24	BC21-P1
GL000239.1	33824	18	BC21-P1
GL000235.1	34474	4	BC21-P1
GL000201.1	36148	52	BC21-P1
GL000247.1	36422	13	BC21-P1
GL000245.1	36651	38	BC21-P1
GL000197.1	37175	47	BC21-P1
GL000203.1	37498	8	BC21-P1
GL000246.1	38154	13	BC21-P1
GL000249.1	38502	13	BC21-P1
GL000196.1	38914	6	BC21-P1
GL000248.1	39786	8	BC21-P1
GL000244.1	39929	34	BC21-P1
GL000238.1	39939	14	BC21-P1
GL000202.1	40103	16	BC21-P1
GL000234.1	40531	0	BC21-P1
GL000232.1	40652	2	BC21-P1
GL000206.1	41001	46	BC21-P1
GL000240.1	41933	4	BC21-P1
GL000236.1	41934	5678	BC21-P1
GL000241.1	42152	2	BC21-P1
GL000243.1	43341	67	BC21-P1
GL000242.1	43523	31	BC21-P1
GL000230.1	43691	0	BC21-P1
GL000237.1	45867	22	BC21-P1
GL000233.1	45941	2	BC21-P1
GL000204.1	81310	112	BC21-P1
GL000198.1	90085	2	BC21-P1
GL000208.1	92689	18	BC21-P1
GL000191.1	106433	372	BC21-P1
GL000227.1	128374	3528	BC21-P1
GL000228.1	129120	269	BC21-P1
GL000214.1	137718	61	BC21-P1
GL000221.1	155397	162	BC21-P1
GL000209.1	159169	24	BC21-P1
GL000218.1	161147	31	BC21-P1
GL000220.1	161802	25	BC21-P1
GL000213.1	164239	29	BC21-P1
GL000211.1	166566	7	BC21-P1
GL000199.1	169874	31	BC21-P1
GL000217.1	172149	88	BC21-P1
GL000216.1	172294	191	BC21-P1
GL000215.1	172545	39	BC21-P1
GL000205.1	174588	2	BC21-P1
GL000219.1	179198	8	BC21-P1
GL000224.1	179693	29	BC21-P1
GL000223.1	180455	70	BC21-P1
GL000195.1	182896	0	BC21-P1
GL000212.1	186858	10270	BC21-P1
GL000222.1	186861	175	BC21-P1
GL000200.1	187035	74	BC21-P1
GL000193.1	189789	23	BC21-P1
GL000194.1	191469	66	BC21-P1
GL000225.1	211173	16	BC21-P1
GL000192.1	547496	116	BC21-P1
1	249250621	2083138	BC06-P1
2	243199373	1401496	BC06-P1
3	198022430	1196212	BC06-P1
4	191154276	691808	BC06-P1
5	180915260	1031785	BC06-P1
6	171115067	1246962	BC06-P1
7	159138663	1234110	BC06-P1
8	146364022	622154	BC06-P1
9	141213431	988870	BC06-P1
10	135534747	670863	BC06-P1
11	135006516	906395	BC06-P1
12	133851895	1332514	BC06-P1
13	115169878	480961	BC06-P1
14	107349540	319528	BC06-P1
15	102531392	656031	BC06-P1
16	90354753	1285943	BC06-P1
17	81195210	1295209	BC06-P1
18	78077248	168595	BC06-P1
19	59128983	2030123	BC06-P1
20	63025520	546392	BC06-P1
21	48129895	382564	BC06-P1
22	51304566	414735	BC06-P1
X	155270560	1032028	BC06-P1
Y	59373566	483	BC06-P1
MT	16569	53	BC06-P1
GL000207.1	4262	0	BC06-P1
GL000226.1	15008	6	BC06-P1
GL000229.1	19913	0	BC06-P1
GL000231.1	27386	0	BC06-P1
GL000210.1	27682	4	BC06-P1
GL000239.1	33824	6	BC06-P1
GL000235.1	34474	2	BC06-P1
GL000201.1	36148	6	BC06-P1
GL000247.1	36422	4	BC06-P1
GL000245.1	36651	17	BC06-P1
GL000197.1	37175	15	BC06-P1
GL000203.1	37498	0	BC06-P1
GL000246.1	38154	2	BC06-P1
GL000249.1	38502	4	BC06-P1
GL000196.1	38914	1	BC06-P1
GL000248.1	39786	0	BC06-P1
GL000244.1	39929	3	BC06-P1
GL000238.1	39939	0	BC06-P1
GL000202.1	40103	0	BC06-P1
GL000234.1	40531	0	BC06-P1
GL000232.1	40652	2	BC06-P1
GL000206.1	41001	11	BC06-P1
GL000240.1	41933	2	BC06-P1
GL000236.1	41934	4141	BC06-P1
GL000241.1	42152	1	BC06-P1
GL000243.1	43341	25	BC06-P1
GL000242.1	43523	1	BC06-P1
GL000230.1	43691	0	BC06-P1
GL000237.1	45867	3	BC06-P1
GL000233.1	45941	0	BC06-P1
GL000204.1	81310	26	BC06-P1
GL000198.1	90085	1	BC06-P1
GL000208.1	92689	13	BC06-P1
GL000191.1	106433	187	BC06-P1
GL000227.1	128374	2433	BC06-P1
GL000228.1	129120	132	BC06-P1
GL000214.1	137718	20	BC06-P1
GL000221.1	155397	61	BC06-P1
GL000209.1	159169	7	BC06-P1
GL000218.1	161147	12	BC06-P1
GL000220.1	161802	22	BC06-P1
GL000213.1	164239	10	BC06-P1
GL000211.1	166566	4	BC06-P1
GL000199.1	169874	18	BC06-P1
GL000217.1	172149	41	BC06-P1
GL000216.1	172294	49	BC06-P1
GL000215.1	172545	3	BC06-P1
GL000205.1	174588	2	BC06-P1
GL000219.1	179198	5	BC06-P1
GL000224.1	179693	6	BC06-P1
GL000223.1	180455	30	BC06-P1
GL000195.1	182896	0	BC06-P1
GL000212.1	186858	6411	BC06-P1
GL000222.1	186861	53	BC06-P1
GL000200.1	187035	14	BC06-P1
GL000193.1	189789	2	BC06-P1
GL000194.1	191469	12	BC06-P1
GL000225.1	211173	8	BC06-P1
GL000192.1	547496	44	BC06-P1
1	249250621	4420041	BC10-P1
2	243199373	3093155	BC10-P1
3	198022430	2589285	BC10-P1
4	191154276	1428430	BC10-P1
5	180915260	2190548	BC10-P1
6	171115067	2778353	BC10-P1
7	159138663	2764429	BC10-P1
8	146364022	1426943	BC10-P1
9	141213431	2165046	BC10-P1
10	135534747	1455541	BC10-P1
11	135006516	1864118	BC10-P1
12	133851895	2914582	BC10-P1
13	115169878	1093847	BC10-P1
14	107349540	690128	BC10-P1
15	102531392	1272428	BC10-P1
16	90354753	2513815	BC10-P1
17	81195210	2732233	BC10-P1
18	78077248	406010	BC10-P1
19	59128983	4267578	BC10-P1
20	63025520	1184346	BC10-P1
21	48129895	769247	BC10-P1
22	51304566	960655	BC10-P1
X	155270560	2060027	BC10-P1
Y	59373566	900	BC10-P1
MT	16569	100	BC10-P1
GL000207.1	4262	0	BC10-P1
GL000226.1	15008	3	BC10-P1
GL000229.1	19913	3	BC10-P1
GL000231.1	27386	0	BC10-P1
GL000210.1	27682	20	BC10-P1
GL000239.1	33824	23	BC10-P1
GL000235.1	34474	0	BC10-P1
GL000201.1	36148	66	BC10-P1
GL000247.1	36422	28	BC10-P1
GL000245.1	36651	30	BC10-P1
GL000197.1	37175	55	BC10-P1
GL000203.1	37498	8	BC10-P1
GL000246.1	38154	0	BC10-P1
